hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,name,email,phone-number,credit_card
City Hotel,1,312,2015,August,35,25,0,4,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,,0,Transient-Party,62,0,0,Canceled,06-07-2015,Cynthia Holloway,Cynthia_Holloway29@gmail.com,328-880-5015,************1071
City Hotel,0,39,2015,August,33,14,0,2,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6,,0,Transient-Party,109,0,0,Check-Out,16-08-2015,Sean Campbell,Sean.C@yahoo.com,627-056-4429,************5843
City Hotel,1,302,2016,September,38,16,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12,,70,Transient,100,0,0,Canceled,28-01-2016,Jennifer Hopkins,Jennifer.Hopkins@yandex.com,757-862-7749,************1277
City Hotel,1,346,2015,September,40,28,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Contract,62,0,0,Canceled,01-01-2015,Suzanne Taylor,Suzanne.Taylor@mail.com,423-577-4669,************4262
City Hotel,0,9,2016,June,25,17,0,2,3,0,0,BB,JPN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,177,0,2,Check-Out,19-06-2016,Amy Leon,Amy_Leon@mail.com,274-838-0080,************7293
City Hotel,0,124,2016,June,27,30,0,2,2,0,0,BB,FIN,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,,0,Transient-Party,97.55,0,0,Check-Out,02-07-2016,Dean Johnson,Dean.Johnson@hotmail.com,488-096-5298,************5913
Resort Hotel,1,54,2016,July,29,15,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,160,0,0,Canceled,13-06-2016,Kevin Rodriguez,KevinRodriguez@outlook.com,156-972-6798,************4126
City Hotel,1,161,2017,May,18,5,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30,,0,Transient,120,0,0,Canceled,25-11-2016,Alyssa Hudson,Alyssa_H41@outlook.com,406-659-4115,************6433
City Hotel,0,3,2016,September,40,26,3,7,1,0,0,BB,PRT,Corporate,Corporate,1,4,46,A,A,0,No Deposit,,40,0,Transient,65,0,0,Check-Out,06-10-2016,Ashley Anderson,Ashley.Anderson@hotmail.com,294-240-1897,************8926
City Hotel,0,69,2015,October,44,25,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37,,58,Transient-Party,85.67,0,0,Check-Out,28-10-2015,Kristin Greene,Kristin_Greene@hotmail.com,368-844-3413,************5941
City Hotel,1,420,2016,September,36,3,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,35,,0,Transient,75,0,0,Canceled,12-10-2015,John Evans,John.E@zoho.com,832-717-8859,************1772
City Hotel,1,327,2015,September,37,9,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,,0,Transient-Party,62,0,0,Canceled,02-07-2015,Allison Mason,Mason_Allison@hotmail.com,246-903-8920,************1929
City Hotel,0,7,2015,September,39,21,1,2,2,0,0,BB,ISR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Contract,136,0,2,Check-Out,24-09-2015,Jaime Lowery,Jaime.Lowery@att.com,417-622-1864,************6021
City Hotel,0,122,2016,March,14,27,2,1,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26,,0,Transient-Party,107,0,1,Check-Out,30-03-2016,Kim Duke,KimDuke69@comcast.net,389-321-5148,************4172
City Hotel,0,3,2016,April,18,25,1,0,1,0,0,BB,PRT,Corporate,Corporate,1,0,4,A,A,0,No Deposit,,40,0,Transient,65,0,0,Check-Out,26-04-2016,Terri Jones,Terri_Jones@zoho.com,960-958-5888,************5327
City Hotel,0,178,2016,August,35,23,0,3,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9,,0,Transient,143.7,1,1,Check-Out,26-08-2016,Tyler Manning,TylerManning@xfinity.com,617-807-2578,************7687
City Hotel,0,83,2016,March,14,28,1,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16,,0,Transient,80.75,0,0,Check-Out,02-04-2016,Shirley Mcdaniel,Shirley.M@gmail.com,716-541-9547,************4782
City Hotel,1,279,2015,July,30,23,0,2,2,0,0,BB,PRT,Groups,TA/TO,1,1,0,A,A,0,No Deposit,1,,0,Transient-Party,62.8,0,0,Canceled,17-10-2014,Heather Reed,Reed.Heather@yahoo.com,831-211-8033,************3459
Resort Hotel,1,162,2016,August,36,31,2,7,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,141.33,0,0,Canceled,21-07-2016,Timothy Harrison,Timothy_H@gmail.com,928-299-3935,************4569
Resort Hotel,0,16,2016,December,52,24,2,1,2,0,0,BB,GBR,Direct,Direct,0,0,0,E,E,0,No Deposit,,,0,Transient,99.33,0,0,Check-Out,27-12-2016,Carol Williams,Williams_Carol@comcast.net,208-698-3391,************3898
Resort Hotel,1,108,2016,March,13,21,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,,0,Transient,48,0,1,Canceled,04-01-2016,Sarah Fisher,Sarah.F@yahoo.com,337-036-5194,************1243
City Hotel,0,13,2016,October,42,10,1,2,2,0,0,BB,USA,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,332,0,Transient,159,0,0,Check-Out,13-10-2016,Tiffany Sutton,TSutton@gmail.com,153-226-0912,************7215
Resort Hotel,0,130,2016,August,34,20,4,10,2,0,0,BB,IRL,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,189.86,0,0,Check-Out,03-09-2016,Christopher Jackson,Christopher_Jackson@zoho.com,518-986-2976,************6194
City Hotel,1,178,2016,August,34,18,0,3,1,1,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,124.5,0,0,Canceled,04-03-2016,Jared Patel,Jared_Patel@verizon.com,870-223-8884,************9408
Resort Hotel,0,217,2017,August,35,29,0,4,2,0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,2,No Deposit,410,,0,Transient,106.35,0,1,Check-Out,02-09-2017,Brittany Villanueva,Brittany_Villanueva@att.com,857-733-7782,************4484
Resort Hotel,0,73,2017,February,7,17,1,2,2,0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,498,0,Transient-Party,40,0,0,Check-Out,20-02-2017,Ryan Clark,Ryan.C22@comcast.net,439-264-8902,************9703
Resort Hotel,0,4,2016,November,48,26,2,1,1,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,43,0,1,Check-Out,29-11-2016,Daniel Dixon,Dixon.Daniel85@yandex.com,574-410-9875,************6962
Resort Hotel,1,126,2017,June,25,20,0,4,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,410,,0,Transient,63,0,0,Canceled,14-02-2017,Christopher Lambert,Lambert.Christopher@yandex.com,674-284-7572,************7505
City Hotel,0,7,2016,August,35,26,2,2,2,0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,143,0,1,Check-Out,30-08-2016,Eileen Foster,Eileen.Foster30@aol.com,309-678-6485,************2432
City Hotel,1,230,2016,July,31,26,0,3,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,,0,Transient-Party,95.75,0,1,Canceled,25-01-2016,Abigail Jones,Abigail.Jones15@protonmail.com,201-443-7008,************4098
Resort Hotel,1,72,2016,February,6,6,2,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,73.33,0,0,Canceled,19-01-2016,Reginald Leon,Leon_Reginald@att.com,540-793-8834,************4948
City Hotel,1,226,2017,June,24,16,1,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,20,,0,Transient,105,0,0,Canceled,21-04-2017,Laurie Stevens,Laurie_S91@verizon.com,693-285-2652,************2292
Resort Hotel,0,63,2017,April,15,10,1,2,1,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,,0,Contract,63.95,0,0,Check-Out,13-04-2017,Christine Smith,CSmith@xfinity.com,951-141-3438,************2790
City Hotel,0,127,2016,April,18,28,1,3,2,0,0,BB,USA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,0,Transient,90,0,0,Check-Out,02-05-2016,Randy Ramirez,RandyRamirez@mail.com,552-817-5061,************4152
City Hotel,1,87,2017,April,15,15,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,,0,Transient,95,0,0,Canceled,18-01-2017,William Patterson,William_P@att.com,851-967-2180,************3068
City Hotel,1,19,2016,September,39,23,1,2,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,159,0,1,Canceled,20-09-2016,John Bright,John.B@hotmail.com,132-804-1602,************6364
City Hotel,0,21,2017,February,8,20,1,1,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,80,0,0,Check-Out,22-02-2017,Martha Kelly,MKelly@xfinity.com,634-123-8506,************7601
Resort Hotel,0,39,2015,November,46,11,1,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,,0,Transient,66.64,0,0,Check-Out,16-11-2015,Cynthia Castro,CynthiaCastro@gmail.com,264-245-0467,************7312
City Hotel,1,3,2015,September,36,5,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,,0,Transient-Party,0,0,0,Canceled,03-09-2015,Kirsten Larson,KirstenLarson@protonmail.com,360-682-4912,************3750
City Hotel,0,6,2016,September,39,22,0,1,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,159,0,3,Check-Out,23-09-2016,Elizabeth Adams,Elizabeth_A@zoho.com,240-119-2653,************4624
City Hotel,1,169,2017,April,16,21,2,3,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,117,0,1,Canceled,08-11-2016,Julie Duncan,Julie.Duncan@yandex.com,233-000-1380,************1860
Resort Hotel,1,95,2017,April,14,8,2,3,3,1,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,,0,Transient,150,0,0,Canceled,19-01-2017,Melissa Lindsey,Lindsey_Melissa@att.com,945-194-5725,************8844
City Hotel,0,27,2017,February,6,5,2,2,1,0,0,BB,JPN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,68,0,1,Check-Out,09-02-2017,Ashley Sparks,AshleySparks@yahoo.com,905-198-2663,************4893
Resort Hotel,1,155,2015,October,44,31,0,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,36,0,0,Canceled,26-10-2015,John Parks,JParks@protonmail.com,483-719-7176,************5534
City Hotel,0,14,2017,May,18,2,0,4,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,127.5,0,1,Check-Out,06-05-2017,John Jimenez,Jimenez_John98@yahoo.com,612-163-4384,************2262
Resort Hotel,0,0,2017,July,28,12,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,,0,Transient,8,0,0,Check-Out,13-07-2017,Jennifer Murphy,JMurphy@hotmail.com,925-390-4397,************3914
Resort Hotel,0,277,2015,October,41,6,2,5,2,0,0,HB,GBR,Groups,Direct,0,0,0,D,E,0,No Deposit,273,,0,Transient-Party,68.74,0,0,Check-Out,13-10-2015,Dean Hughes,Dean.H@outlook.com,554-129-3144,************8697
City Hotel,1,6,2015,September,37,11,1,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,127,0,0,Canceled,07-09-2015,Phillip Kane,Phillip.K@protonmail.com,745-406-2345,************4748
City Hotel,1,46,2017,March,13,27,1,2,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,106.2,0,0,Canceled,10-02-2017,Kevin Martin,Kevin.M@yandex.com,126-689-1575,************7096
Resort Hotel,1,77,2015,September,40,28,1,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,175,,0,Transient,74.6,0,1,Canceled,25-07-2015,Samantha Newton,SNewton@outlook.com,393-155-7303,************5136
Resort Hotel,0,315,2015,September,40,29,2,7,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,,0,Contract,71.26,0,0,Check-Out,08-10-2015,Ronald Stewart,RonaldStewart@hotmail.com,687-589-8008,************3931
City Hotel,0,263,2017,June,25,23,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37,,0,Transient-Party,105,0,1,Check-Out,27-06-2017,Amy Young,AmyYoung@zoho.com,960-884-1078,************7799
City Hotel,1,112,2017,April,15,12,0,3,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,172.5,0,1,Canceled,08-01-2017,Michael Brown,Michael_B@hotmail.com,627-705-4072,************9816
City Hotel,0,3,2017,January,1,5,0,3,1,0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,90.1,0,1,Check-Out,08-01-2017,Jennifer Scott,Scott_Jennifer46@yandex.com,894-145-3231,************8589
Resort Hotel,0,222,2017,June,25,23,2,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,,0,Transient,76.23,0,1,Check-Out,28-06-2017,Emily Porter,Porter.Emily@verizon.com,809-174-4673,************3365
City Hotel,1,128,2017,August,31,4,0,1,3,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,195,0,0,Canceled,12-07-2017,Marcus Ward,Marcus_Ward@protonmail.com,509-749-2831,************5440
City Hotel,1,40,2017,March,13,29,0,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9,,0,Transient,158,0,0,Canceled,19-03-2017,Robert Franklin,Robert_F@zoho.com,629-956-5382,************7825
Resort Hotel,0,34,2016,March,11,8,2,5,2,0,0,FB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,115,,0,Transient,83.33,0,1,Check-Out,15-03-2016,Cole Smith,Smith_Cole@gmail.com,138-175-2580,************7929
City Hotel,0,8,2015,October,44,29,1,3,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,94.24,0,0,Check-Out,02-11-2015,Cindy Sellers,CSellers@xfinity.com,332-249-2817,************6680
City Hotel,1,196,2016,August,32,4,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,105.3,0,0,Canceled,25-01-2016,Jonathan Duncan,Jonathan_D@outlook.com,112-081-9115,************2780
Resort Hotel,0,3,2016,December,49,1,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,,0,Transient,48,0,1,Check-Out,03-12-2016,Martin Vega,MartinVega@att.com,660-115-1945,************3946
Resort Hotel,0,274,2017,August,33,16,2,4,2,1,0,HB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250,,0,Transient,224.1,1,3,Check-Out,22-08-2017,Henry Turner,Henry.Turner@gmail.com,699-337-7679,************5432
Resort Hotel,0,6,2016,March,12,15,0,2,1,0,0,BB,,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,,0,Transient,30,0,0,Check-Out,17-03-2016,John Burke,John_B70@att.com,386-828-4669,************8059
City Hotel,0,5,2015,December,50,9,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28,,0,Transient-Party,58,0,1,Check-Out,12-12-2015,Jeanne Hall,JHall26@hotmail.com,438-337-5950,************9981
Resort Hotel,0,0,2015,September,40,30,0,1,2,0,0,BB,DEU,Corporate,Corporate,0,0,0,G,G,0,No Deposit,110,,0,Transient,90.1,0,0,Check-Out,01-10-2015,Douglas Hoffman,Hoffman_Douglas32@comcast.net,139-406-7286,************7850
City Hotel,0,219,2017,June,25,18,2,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,117,0,1,Check-Out,23-06-2017,Daniel Williamson,Daniel_W44@protonmail.com,119-197-1291,************5208
City Hotel,0,115,2016,May,19,4,1,4,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient-Party,99.45,0,1,Check-Out,09-05-2016,Chloe Smith,ChloeSmith62@yahoo.com,457-317-6613,************6804
City Hotel,0,115,2016,April,15,8,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1,,34,Transient-Party,57.5,0,0,Check-Out,10-04-2016,Christopher Lopez,Lopez_Christopher@mail.com,727-021-9750,************4347
Resort Hotel,0,77,2015,September,40,28,2,5,2,0,0,HB,POL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,,0,Transient,78.1,0,2,Check-Out,05-10-2015,Abigail White,Abigail.W@yandex.com,539-951-2716,************4673
City Hotel,1,302,2016,October,41,6,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3,,0,Transient,105,0,0,Canceled,29-12-2015,Christopher Clements,Clements.Christopher@hotmail.com,986-334-6292,************2240
Resort Hotel,0,1,2017,February,6,11,0,1,2,0,0,BB,PRT,Online TA,TA/TO,1,0,1,A,A,0,No Deposit,240,,0,Transient,48,0,1,Check-Out,12-02-2017,Robert Ruiz,Ruiz_Robert15@yahoo.com,421-774-9305,************5032
Resort Hotel,0,129,2016,July,29,10,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,,0,Transient,158.67,1,3,Check-Out,16-07-2016,Robin Brown,RBrown@verizon.com,732-868-8251,************5239
City Hotel,0,0,2017,June,22,1,0,1,2,0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,152,,0,Transient,92.98,0,0,Check-Out,02-06-2017,Michael Sanders,MSanders@xfinity.com,147-998-3090,************9017
City Hotel,0,9,2016,June,25,17,1,2,2,1,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,138,,0,Transient,95,0,1,Check-Out,20-06-2016,Julia Maxwell,Julia_M19@outlook.com,796-940-3540,************5767
City Hotel,0,28,2016,June,25,14,0,3,1,0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7,,0,Transient,108.42,0,1,Check-Out,17-06-2016,Michael Gutierrez,Gutierrez_Michael@xfinity.com,213-626-2840,************3716
City Hotel,0,10,2017,July,27,6,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,219,,0,Transient-Party,95,0,0,Check-Out,07-07-2017,Eddie Brock,Brock.Eddie@verizon.com,862-858-1436,************5698
Resort Hotel,0,295,2017,March,11,15,2,4,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314,,0,Transient,26.64,0,1,Check-Out,21-03-2017,Leslie Stone,Leslie_Stone21@gmail.com,276-355-0522,************7186
City Hotel,1,127,2016,April,18,28,1,3,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,,0,Transient-Party,80,0,0,Canceled,10-02-2016,Sydney Morales,Morales_Sydney91@outlook.com,647-752-6972,************4022
Resort Hotel,1,22,2017,April,14,6,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,,0,Transient,115,0,0,Canceled,15-03-2017,Diane Smith,Diane.S@hotmail.com,361-646-2611,************9540
City Hotel,1,97,2017,March,11,14,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,31,,0,Transient,85,0,0,Canceled,07-12-2016,Nicole Anderson,Nicole.A@verizon.com,783-440-9544,************3503
City Hotel,0,59,2015,November,48,28,2,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Contract,106.2,0,1,Check-Out,04-12-2015,Robin Lowe,Robin_Lowe94@protonmail.com,372-284-5259,************2519
Resort Hotel,0,21,2015,November,46,12,0,3,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,334,281,0,Transient-Party,40,0,0,Check-Out,15-11-2015,Henry Castaneda,Castaneda.Henry@yahoo.com,750-021-4569,************3962
City Hotel,1,95,2017,July,30,28,0,2,2,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,125,0,1,Canceled,24-04-2017,Brandon Salazar,Brandon.Salazar@mail.com,969-896-3589,************2871
City Hotel,0,153,2016,July,30,23,2,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,108.45,0,1,Check-Out,27-07-2016,Sarah Ho,Ho.Sarah61@outlook.com,644-447-4201,************4593
City Hotel,1,88,2017,August,32,12,2,5,3,0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,,0,Transient,195,0,1,Canceled,18-05-2017,Stephanie Kramer,SKramer@xfinity.com,559-221-3708,************6309
City Hotel,0,3,2017,August,35,31,0,1,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient,140,0,1,Check-Out,01-09-2017,Allison Herrera,AllisonHerrera55@comcast.net,654-793-8468,************3335
City Hotel,1,31,2016,November,48,23,0,4,2,0,0,BB,MAR,Online TA,TA/TO,0,0,0,B,B,1,No Deposit,9,,0,Transient,77.86,0,2,Canceled,11-11-2016,David Greer,David.Greer40@mail.com,538-150-1306,************3436
Resort Hotel,1,231,2015,July,28,7,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,240,,0,Transient,110.7,0,0,Canceled,17-03-2015,Michael Torres,Michael.T@hotmail.com,601-544-5977,************5948
City Hotel,1,97,2017,March,9,4,2,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,97.2,0,1,Canceled,25-12-2016,Samantha Walker DDS,Samantha_D@aol.com,261-747-3862,************6651
City Hotel,1,6,2017,February,7,14,0,1,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,128,0,0,Canceled,08-02-2017,Emily Gonzalez,EGonzalez@zoho.com,663-659-2664,************4011
City Hotel,0,34,2016,June,25,14,0,3,2,0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,107.1,0,1,Check-Out,17-06-2016,Roy Ellis,Roy_E@protonmail.com,838-388-8613,************3301
City Hotel,0,1,2016,January,2,8,0,2,2,0,0,SC,BRA,Online TA,TA/TO,1,11,0,A,A,0,No Deposit,9,,0,Transient-Party,67.5,0,0,Check-Out,10-01-2016,Stephen Wilson,StephenWilson@verizon.com,141-206-4121,************1577
City Hotel,0,13,2017,January,3,21,1,1,2,0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient,89,0,1,Check-Out,23-01-2017,Sherri Garcia DDS,SherriDDS@outlook.com,280-779-9962,************5615
City Hotel,1,14,2016,April,16,16,2,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,127.67,0,0,Canceled,04-04-2016,Michael Swanson,Michael_S@outlook.com,983-909-9939,************1923
City Hotel,0,4,2015,November,46,14,2,1,2,0,0,BB,FRA,Direct,Direct,0,0,0,B,B,0,No Deposit,14,,0,Transient,81,0,1,Check-Out,17-11-2015,Yolanda Smith,Smith_Yolanda@yahoo.com,388-691-6119,************2088
City Hotel,0,157,2017,August,31,1,0,4,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,137.25,0,0,Check-Out,05-08-2017,Jill Walton,Jill_Walton@verizon.com,548-886-5475,************3480
City Hotel,1,212,2016,October,42,9,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,,0,Transient,75.23,0,0,Canceled,12-03-2016,Carla Harris,Carla.H@outlook.com,332-015-6413,************2542
City Hotel,1,163,2016,June,24,5,2,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,171,,0,Transient,100,0,0,Canceled,26-01-2016,Joseph Davis,Davis_Joseph@outlook.com,987-324-2849,************3517
City Hotel,0,116,2016,October,44,23,2,2,2,0,1,BB,KOR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9,,0,Transient,104.85,0,2,Check-Out,27-10-2016,Mr. Jason Hart PhD,Mr..PhD@att.com,305-840-5116,************2628
Resort Hotel,1,106,2016,July,30,21,1,3,2,2,0,BB,ARG,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,,0,Transient,252,0,0,Canceled,13-06-2016,Amanda Clarke,Clarke_Amanda@yandex.com,413-368-1316,************3370
Resort Hotel,1,72,2016,February,6,6,2,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient-Party,73.33,0,0,Canceled,19-01-2016,Elijah Johnson,ElijahJohnson@mail.com,202-996-0858,************7341
Resort Hotel,0,30,2016,February,8,20,2,5,2,0,1,BB,GBR,Direct,Direct,0,0,0,A,E,1,No Deposit,,,0,Transient,48,0,1,Check-Out,27-02-2016,Gregory Thornton,Gregory.Thornton@verizon.com,776-858-8638,************2103
Resort Hotel,0,222,2016,April,14,2,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,,0,Transient,42.19,0,2,Check-Out,09-04-2016,Jose Blake,JoseBlake@verizon.com,730-023-5457,************8277
City Hotel,0,263,2017,June,25,23,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37,,0,Transient-Party,105,0,1,Check-Out,27-06-2017,Denise Moore,DMoore@xfinity.com,758-469-5575,************3889
City Hotel,1,9,2016,April,17,19,0,1,2,0,0,SC,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,,0,Transient,89,0,0,Canceled,15-04-2016,Andrew Prince,Andrew.P19@mail.com,723-820-6124,************5781
City Hotel,1,317,2016,September,38,15,0,2,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19,,0,Transient,120,0,0,Canceled,09-02-2016,Tina Turner,Tina_T@yandex.com,663-832-9440,************2748
Resort Hotel,0,129,2016,March,14,28,2,5,3,0,0,BB,BEL,Direct,Direct,0,0,0,C,C,0,No Deposit,,,0,Transient,88.84,0,1,Check-Out,04-04-2016,Erik Fisher,Erik_F30@hotmail.com,350-984-6817,************4514
